,id,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
547,548,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,3,2,2,3,3,3,2.5714285714285716
548,549,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
549,550,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,3,2,3,4,4,3.142857142857143
550,551,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,4,2,3,3,3,3.0
551,552,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,4,4,5,4,5,4.428571428571429
552,553,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,1,1,1,1,1,1,1,1.0
553,554,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
554,555,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
555,556,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,3,2,2,3,3,2,2.4285714285714284
556,557,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,5,5,4,5,5,5,4.714285714285714
557,558,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
558,559,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,1,2,1,1,1,2,1,1.2857142857142858
559,560,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,4,4,3.857142857142857
560,561,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
561,562,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
562,563,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
563,564,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
564,565,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,2,3,3,2,2.5714285714285716
565,566,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,2,2,3,3,3,2.5714285714285716
566,567,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,1,2,1,1,1,2,1,1.2857142857142858
567,568,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,2,3,3,3,2,3,2.857142857142857
568,569,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,1,2,2,2,2,2,1,1.7142857142857142
569,570,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,2,2,2,2,2,2,2.0
570,571,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,1,1,1,1,1,1,1,1.0
571,572,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,1,1,1,1,1,1,1,1.0
572,573,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,4,4,4,4,5,4.285714285714286
573,574,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,4,5,4,5,4.571428571428571
574,575,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
575,576,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,1,2,2,2,2,2,3,2.0
576,577,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,2,3,3,2,2,2,2.5714285714285716
577,578,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,2,3,2,2,2,3,3,2.4285714285714284
578,579,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,4,4,4,4,4,4,4.0
579,580,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,2,2,3,2,2,2,2,2.142857142857143
580,581,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,2,3,2,2,2,2,2.2857142857142856
581,582,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,2,3,3,3,3,3,3,2.857142857142857
582,583,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1,1.0
583,584,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,1,2,3,2,2,2,2,2.0
584,585,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,3,3,3,3,3,4,3.142857142857143
585,586,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,4,3,3,3,3,3.2857142857142856
586,587,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,2,2,2,2,2,2,2,2.0
587,588,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,4,4,3,3,4,3.5714285714285716
588,589,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,3,3,3,3,3,3,3.0
589,590,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,4,4,2,4,4,4,3.2857142857142856
590,591,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,3,2,1,2,3,1,1.8571428571428572
591,592,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,4,3,2,3,3,2,2.5714285714285716
592,593,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,3,2,3,3,3,2.7142857142857144
593,594,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,2,1,1,1,1,1,1.1428571428571428
594,595,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,1,1,1,1,1,1,1.0
595,596,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,4,3,2,3,3,2,2.7142857142857144
596,597,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,2,2,2,3,3,2.4285714285714284
597,598,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,3,2,3,3,2,2.5714285714285716
598,599,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,2,1,1,1,2,1,1.2857142857142858
599,600,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,1,1,1,1,1,1,1.0
600,601,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,4,4,4,5,4,5,4.428571428571429
601,602,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,2,2,2,3,2,2.2857142857142856
602,603,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,2,2,2,3,2,2.2857142857142856
603,604,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,2,1,1,1,2,1,1.2857142857142858
604,605,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,2,2,3,3,2,2.4285714285714284
605,606,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,4,4,3,3,4,4,3.4285714285714284
606,607,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,3,3,2,3,3,3,2.857142857142857
607,608,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,4,3,4,3,3,3.142857142857143
608,609,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,4,2,2,4,4,4,3.142857142857143
609,610,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,4,3,2,3,3,3,3.0
