,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
19,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-7B-Chat,5,4,5,5,5,4,5,4.714285714285714
20,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-7B-Chat,4,4,5,5,4,4,5,4.428571428571429
21,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-7B-Chat,1,2,2,2,2,2,1,1.7142857142857142
22,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-7B-Chat,3,3,4,3,3,3,3,3.142857142857143
23,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,bc_sft_new,2,2,2,2,2,2,2,2.0
24,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,bc_sft_new,2,3,4,3,3,4,3,3.142857142857143
25,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,bc_sft_new,3,4,4,4,4,4,4,3.857142857142857
26,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-13B-Chat,5,3,5,5,4,4,5,4.428571428571429
27,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-13B-Chat,2,2,2,2,2,2,2,2.0
28,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,Baichuan2-13B-Chat,3,3,3,3,3,3,3,3.0
29,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,gpt-3.5,5,4,5,5,5,5,5,4.857142857142857
30,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,gpt-3.5,5,5,5,5,5,5,5,5.0
31,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,gpt-3.5,4,4,4,4,4,4,4,4.0
32,Harry_Potter,azure_GPT-4-Turbo,gpt-3.5,gpt-3.5,2,4,3,2,3,3,2,2.7142857142857144
